,text,class,summary,cleaned
223651,"Xotic Tech Side AC Air Outlet Frame Cover Trim, Real Carbon Fiber, Compatible with BMW 3 Series F30 F31 2013-2017, GT F34 201 ENPA3WW

https://t.co/fFgIdWwsEy https://t.co/rqURudbH9I",0,"Xotic Tech Side AC Air Outlet Frame Cover Trim, Real Carbon Fiber, Compatible with BMW 3 Series F30 F31 2013-2017, GT F34 201 ENPA3WW

https://t.co/fFgIdWwsEy https://t.co/rqURudbH9I",exotic tech air outlet frame cover trim real carbon fiber compatible bow series kenya
223652,IM A COMMUNIST,0,IM A COMMUNIST,communist
223653,"“the game a dead end , don’t forget to tell em that.”",0,"“the game a dead end , don’t forget to tell em that.”",game dead end not forget tell
223654,"Voices from Colonial America: North Carolina 1524-1776 (National Geographic Voices from ColonialAmerica) VOJXJGZ

https://t.co/WW5qFJRZPA https://t.co/9RSiytlsPO",0,"Voices from Colonial America: North Carolina 1524-1776 (National Geographic Voices from ColonialAmerica) VOJXJGZ

https://t.co/WW5qFJRZPA https://t.co/9RSiytlsPO",voice colonial america north carolina national geographic voice colonial america box
223655,I really wish I didn’t exist like not even I wanna d*e I just wish I would randomly evaporate one day😁,1,I really wish I didn’t exist like not even I wanna d*e I just wish I would randomly evaporate one day😁,wish not exist like not want de wish randomly evaporate day
223656,I HATE the stereotype that every woman is just dying for her partner to propose.,0,I HATE the stereotype that every woman is just dying for her partner to propose.,hate stereotype woman die partner propose
223657,Test ##beta,0,Test ##beta,test beta
223658,All dx people talkin abt Ronaldo sum of dem no even get 10K wat am i even sayin sum of dem no get 1K for acct.....SMH 🤦‍♀️,0,All dx people talkin abt Ronaldo sum of dem no even get 10K wat am i even sayin sum of dem no get 1K for acct.....SMH 🤦‍♀️,people talk ronald sum dem no wat sum dem no account sch
223659,bangchan I wish I could drown myself in a pool full of your cum,0,bangchan I wish I could drown myself in a pool full of your cum,bang chan wish drown pool cum
223660,"Koala Kids Infant Boys Blue Striped Swim Trunks Board Shorts 3-6M WW3DSZN

https://t.co/cDpPVJdnGn https://t.co/1FhTqBTOUe",0,"Koala Kids Infant Boys Blue Striped Swim Trunks Board Shorts 3-6M WW3DSZN

https://t.co/cDpPVJdnGn https://t.co/1FhTqBTOUe",koala kids infant boy blue striped swim trunk board short
223661,When did Belal cook Khamzat like this 😂 https://t.co/pdzOSaMApn,0,When did Belal cook Khamzat like this 😂 https://t.co/pdzOSaMApn,bell cook hazmat like
223662,TW // suicide   I think I will just unalive myself,1,TW // suicide   I think I will just unalive myself,suicide think una live
223663,"Patchouli Lavender Silk Body Lotion by Amaranth &amp; Rue SBHG0OR

https://t.co/Vg0uRiqzaE https://t.co/j3E1gt582r",0,"Patchouli Lavender Silk Body Lotion by Amaranth &amp; Rue SBHG0OR

https://t.co/Vg0uRiqzaE https://t.co/j3E1gt582r",patchouli lavender silk body lotion amaranth amp rue
223664,do y’all think brains wiggle if they get poked while they are plugged in to the head,0,do y’all think brains wiggle if they get poked while they are plugged in to the head,think brain wiggle poke plug head
223665,"16.-Pianos Become the Teeth-Drift
17.-Holy Fawn-Dimensional bleed
18.-Tons-Hashension
19.-Terror Cosmico-miasma
20.-Fugitive-Maniac https://t.co/gMWWJMrKoN",0,"16.-Pianos Become the Teeth-Drift
17.-Holy Fawn-Dimensional bleed
18.-Tons-Hashension
19.-Terror Cosmico-miasma
20.-Fugitive-Maniac https://t.co/gMWWJMrKoN",piano tooth drift holy fawn dimensional bleed ton ascension terror cosmic miasma fugitive maniac
223666,Frozen tree on a beautiful day. https://t.co/EoBQjE6mW0,0,Frozen tree on a beautiful day. https://t.co/EoBQjE6mW0,frozen tree beautiful day
223667,"It's hard to believe it, but 2022 is coming to a close tomorrow. This time a time of reflection for many people. It's a time to check in and take inventory of all that we've accomplished and endured in the last 12 months. 

As you look back on 2022, what are you most proud of? https://t.co/G2TyL7kIUb",0, 2022 is coming to a close tomorrow. It's a time of reflection for many people. What are you most proud of in the last 12 months? Share your thoughts on the topic on Twitter @G2TyL7kIUb.,come close tomorrow time reflection people proud month share thought topic twitter tel club
223668,Obligatory “Ty Smith plays against his former team tonight” tweet. #NJDevils,0,Obligatory “Ty Smith plays against his former team tonight” tweet. #NJDevils,obligatory smith play team tonight tweet devil
223669,"Profitable corner betting strategies at https://t.co/rcwV21HUii

#betting #tips #bettingtips #corners #cornertips #football #footballtips",0,"Profitable corner betting strategies at https://t.co/rcwV21HUii

#betting #tips #bettingtips #corners #cornertips #football #footballtips",profitable corner bet strategy bet tip bet tip corner corner tip football football tip
223670,peep my instagram story,0,peep my instagram story,peep inst gram story
223671,Ima be in the new year before @RiyannaWilliams 😛,0,Ima be in the new year before @RiyannaWilliams 😛,new year ryan williams
223672,2 people followed me and 4 people unfollowed me // automatically checked by https://t.co/AqRWcZC8Ra,0,2 people followed me and 4 people unfollowed me // automatically checked by https://t.co/AqRWcZC8Ra,people follow people follow automatically check
223673,Kissing game x Hi-Five,0,Kissing game x Hi-Five,kiss game hi
223674,love so alive but it died in its sleep,0,love so alive but it died in its sleep,love alive die sleep
223675,sometimes all i want is to hang myself in the closet until i die,1,sometimes all i want is to hang myself in the closet until i die,want hang closet die
223676,"i will never understand how some men constantly choose hanging with their homies over their girl, like just say you all like sucking each other’s dicks",0,"i will never understand how some men constantly choose hanging with their homies over their girl, like just say you all like sucking each other’s dicks",understand man constantly choose hang homie girl like like suck dick
223677,"What do you think about Burgh? 
Unova's third gym leader, specializing in the bug type🕸️#Pokémon #Burgh #pokèfan #gymleader https://t.co/CGB2TXjK1w",0,"What do you think about Burgh? 
Unova's third gym leader, specializing in the bug type🕸️#Pokémon #Burgh #pokèfan #gymleader https://t.co/CGB2TXjK1w",think burgh novas gym leader specialize bug type pokemon burgh poke fan gym leader
223678,loved 🫶🏾,0,loved 🫶🏾,love
223679,"Just posted a photo @ Tulsa, Oklahoma -U.S.A. https://t.co/MtS9fbxORe",0,"Just posted a photo @ Tulsa, Oklahoma -U.S.A. https://t.co/MtS9fbxORe",post photo tulsa oklahoma
223680,"I can't wait to see what happens next! Click the link below and join my struggle!
 
#Original #WorkinProgress #ChildhoodFriends

https://t.co/GsIPjQf9do https://t.co/Wj70AIbTSX",0,"I can't wait to see what happens next! Click the link below and join my struggle!
 
#Original #WorkinProgress #ChildhoodFriends

https://t.co/GsIPjQf9do https://t.co/Wj70AIbTSX",not wait happen click link join struggle original work progress childhood friend
223681,"Snow: Oz, would you like to hear about me too? I’ll tell you if you let me sit in your lap.

Oz: ...No. The very thought of it makes me feel sick.",0,"Snow: Oz, would you like to hear about me too? I’ll tell you if you let me sit in your lap.

Oz: ...No. The very thought of it makes me feel sick.",snow like hear tell let sit lap no thought make feel sick
