,text,class,summary,cleaned
217451, oh i am sorry to ear you miss your mom and your family ,0, oh i am sorry to ear you miss your mom and your family ,sorry ear miss mon family
217452,six hours of sleep i m gonna need a nappy soon,0,six hours of sleep i m gonna need a nappy soon,hour sleep go need nappy soon
217453, quiet but bt engineer on the way thanks for asking yours,0, quiet but bt engineer on the way thanks for asking yours,quiet engineer way thank ask
217454,hate long speeches their ppt presentation was so boring,0,hate long speeches their ppt presentation was so boring,hate long speech presentation boring
217455, i don t know if i like this and your name is too hard to spell,0, i don t know if i like this and your name is too hard to spell,don know like hard spell
217456,i like my doctor but today he is in my bad books coz he asked for more blood tests to be done and he double my bp meds ,0,i like my doctor but today he is in my bad books coz he asked for more blood tests to be done and he double my bp meds ,like doctor today bad book coz ask blood test double bed
217457, i know ,0, i know ,know
217458, i texted everyone it was a group message ,0, i texted everyone it was a group message ,texte group message
217459,just woke up dont wanna work today ,0,just woke up dont wanna work today ,wake not want work today
217460, not very well to be honest ,0, not very well to be honest ,not honest
217461,have you ever felt like someone was ignoring you intentionally i feel it and the feeling gets more intense as the hours pass ,0,have you ever felt like someone was ignoring you intentionally i feel it and the feeling gets more intense as the hours pass ,feel like ignore intentionally feel feeling get intense hour pass
217462, hmmmm but it seems to have died ,0, hmmmm but it seems to have died ,hmm die
217463, take me with you i feel rubbish coz my boss rubbished my intro on a story ,0, take me with you i feel rubbish coz my boss rubbished my intro on a story ,feel rubbish coz boss rubbish intro story
217464, no im still herelast nite was cooli miss him what homegirl say ive loved u since i was 8 the shit wont go away lol,0, no im still herelast nite was cooli miss him what homegirl say ive loved u since i was 8 the shit wont go away lol,no site cool miss homegirl love shit not away low
217465, aww go beat em up,0, aww go beat em up,awe beat
217466,where are and the loser kid twitter gets a bit boring without them ,0,where are and the loser kid twitter gets a bit boring without them ,loser kid twitter get bit boring
217467,the facebook gadget of tweetdeck is quite cool but it does not update replies ,0,the facebook gadget of tweetdeck is quite cool but it does not update replies ,facebook gadget twee deck cool not update reply
217468, i stand corrected ,0, i stand corrected ,stand correct
217469,well the end of the first day back the sun is shining and it s nice to have it over and done with back to reality with a bang ,0,well the end of the first day back the sun is shining and it s nice to have it over and done with back to reality with a bang ,end day sun shine nice reality bang
217470,so not feeling well at allthis is the second time in the 10 days ,0,so not feeling well at allthis is the second time in the 10 days ,not feel second time day
217471, she might i m going to talk to the doctor about it today i hope it s an easy fix i feel so bad for her ,0, she might i m going to talk to the doctor about it today i hope it s an easy fix i feel so bad for her ,go talk doctor today hope easy fix feel bad
217472,it s 227am and i ve no idea why i m still awake well that s not strictly true ,0,it s 227am and i ve no idea why i m still awake well that s not strictly true ,no idea awake not strictly true
217473, i m sorry to say that i can no longer function without qh ,0, i m sorry to say that i can no longer function without qh ,sorry no long function
217474, i dont have a password im gettin my tix thru someone else,0, i dont have a password im gettin my tix thru someone else,not password tax
217475,getting ready to board plane dreading meeting tonight ,0,getting ready to board plane dreading meeting tonight ,get ready board plane dread meeting tonight
217476,loves the sun but the sun doesnt love me ,0,loves the sun but the sun doesnt love me ,love sun sun not love
217477, i cant send u a message on here i really dont get itlol,0, i cant send u a message on here i really dont get itlol,not send message not tool
217478, same here its only monday ,0, same here its only monday ,monday
217479, why the switch of names for the mac client i liked bigbird ,0, why the switch of names for the mac client i liked bigbird ,switch name mac client like big bird
217480, can t make leicester one seeing them in brighton instead gonna try to catch a few others too,0, can t make leicester one seeing them in brighton instead gonna try to catch a few others too,leicester see brighton instead go try catch
217481,packing upleaving nyc going to dirty jersey to test drive my new fiesta fiestamovement this has been amazing,0,packing upleaving nyc going to dirty jersey to test drive my new fiesta fiestamovement this has been amazing,pack leave nyx go dirty jersey test drive new fiesta fiesta movement amazing
217482,awesomeabove average temp today in good old phoenix not ready for the heat ,0,awesomeabove average temp today in good old phoenix not ready for the heat ,awesome average temp today good old phoenix not ready heat
217483, argh would love to but am bogged down with notes what a lovely day today wish i could have a long stroll xxx,0, argh would love to but am bogged down with notes what a lovely day today wish i could have a long stroll xxx,arch love bogge note lovely day today wish long stroll xxx
217484,the morning hasnt started off too great ,0,the morning hasnt started off too great ,morning not start great
217485,just got home from urgent care ,0,just got home from urgent care ,get home urgent care
217486,first day back to work and the sun comes out ,0,first day back to work and the sun comes out ,day work sun come
217487, yea but you dont have to drive an hour to work anymore either sad face,0, yea but you dont have to drive an hour to work anymore either sad face,yea not drive hour work anymore sad face
217488,ms choppy waters so jumped ship way too soon ,0,ms choppy waters so jumped ship way too soon ,choppy water jump ship way soon
217489,ah i hate stupid drama sometimes i wish no of us ever got together so we wouldnt hurt each other stupidother than that great da ,0,ah i hate stupid drama sometimes i wish no of us ever got together so we wouldnt hurt each other stupidother than that great da ,hate stupid drama wish no get not hurt stupid great
217490,bleh my throat is all scratchy and my eyes are kind of bleary and my stomach hurts ,0,bleh my throat is all scratchy and my eyes are kind of bleary and my stomach hurts ,blah throat scratchy eye kind bleary stomach hurt
217491,i m at work ,0,i m at work ,work
217492, that won t last very long i run a campsite amp venue in fob and watch lambs learning life skills with little point,0, that won t last very long i run a campsite amp venue in fob and watch lambs learning life skills with little point,will not long run campsite amp venue fob watch lamb learn life skill little point
217493,i know what my ashes song is going to be but im not home so i can t post the link to youtube so it will be revealed later ,0,i know what my ashes song is going to be but im not home so i can t post the link to youtube so it will be revealed later ,know ashe song go not home post link youtube reveal later
217494,has now got the taste of a tangle twister or loop the loop in my mouth not sure which it is but i have neither so it s useless ,0,has now got the taste of a tangle twister or loop the loop in my mouth not sure which it is but i have neither so it s useless ,get taste tangle twister loop loop mouth not sure useless
217495, why ,0, why ,
217496, i can t believe it s been 10 years seems like yesterday ,0, i can t believe it s been 10 years seems like yesterday ,believe year like yesterday
217497,freezing my arse off waiting for this boltbus i see the dc bus the mega bus but no bolt ,0,freezing my arse off waiting for this boltbus i see the dc bus the mega bus but no bolt ,freeze arse wait bolt bus mega bus no bolt
217498, mneh got an autoresponder not good news ,0, mneh got an autoresponder not good news ,meh get auto responder not good news
217499,watching the bostonmarathon live feed at universalsportscom found out that firefox wants nothing to do with the live feed ie ok,0,watching the bostonmarathon live feed at universalsportscom found out that firefox wants nothing to do with the live feed ie ok,watch boston marathon live feed universal portico find firefox want live feed
217500,there is a very fat very loud man with a bluetooth headset shouting about managing expectations brms and being kept in the loop ,0,there is a very fat very loud man with a bluetooth headset shouting about managing expectations brms and being kept in the loop ,fat loud man bluetooth headset shout manage expectation arm keep loop
