,text,class,summary,cleaned
235601,POV🌪: IF I LOSE 1V1 IN NBA2K35 I HAVE TO JUMP IN THE SNOW😳❄️ https://t.co/AV4FgK4ylh #NBA #nba2k23 #NBA https://t.co/k8oJRY5VGP,0,POV🌪: IF I LOSE 1V1 IN NBA2K35 I HAVE TO JUMP IN THE SNOW😳❄️ https://t.co/AV4FgK4ylh #NBA #nba2k23 #NBA https://t.co/k8oJRY5VGP,nov lose aba jump snow aba aba aba
235602,men are so fucking lame,0,men are so fucking lame,man fucking lame
235603,"No need for my lengthy New Year Resolution. 

I'll just continue being good law-abiding citizen. Then follow what my heart wants! 

Strive everyday for good, enough na! 

Happy New Year, beautiful people 💗

#HappyNewYear #2023goals",0,"No need for my lengthy New Year Resolution. 

I'll just continue being good law-abiding citizen. Then follow what my heart wants! 

Strive everyday for good, enough na! 

Happy New Year, beautiful people 💗

#HappyNewYear #2023goals",no need lengthy new year resolution continue good law abide citizen follow heart want strive everyday good happy new year beautiful people happy year goal
235604,"I wish I was never born on this fucking family, worthless pieces of shit, I hope I can spit in their graves when they die.",1,"I wish I was never born on this fucking family, worthless pieces of shit, I hope I can spit in their graves when they die.",wish bear fucking family worthless piece shit hope spit grave die
235605,"7ED36E95 :Battle ID
I need backup!
Lvl 150 Proto Bahamut
https://t.co/4FiO87ttf2",0,"7ED36E95 :Battle ID
I need backup!
Lvl 150 Proto Bahamut
https://t.co/4FiO87ttf2",ede battle d need backup lvi pro bahama
235606,"i’m going to go drown myself in this bottle of wine, catch you peeps later",0,"i’m going to go drown myself in this bottle of wine, catch you peeps later",go drown bottle wine catch peep later
235607,"Mitch McConnell defied the will of the American people to pack the Supreme Court, and then gloated about it.

When Republicans say, “thy will be done”, they’re talking about the Federalist institute.
#GodlessLovelessFascists",0,"Mitch McConnell defied the will of the American people to pack the Supreme Court, and then gloated about it.

When Republicans say, “thy will be done”, they’re talking about the Federalist institute.
#GodlessLovelessFascists",mitch mcconnell defy american people pack supreme court gloat republican thy talk federalist institute godlesslovelessfascist
235608,i really really don’t want to go to the new year’s party tomorrow i feel like absolute shit,0,i really really don’t want to go to the new year’s party tomorrow i feel like absolute shit,not want new year party tomorrow feel like absolute shit
235609,"Tw// su¡cïde 

Not sure who would see this but earlier this year I tried to kms. I was tired of feeling like worthless villain and thought everyone would be better off without me. I’m now turning 17 in 4 days, still depressed as fook but I’m alive lols",1,"Tw// su¡cïde 

Not sure who would see this but earlier this year I tried to kms. I was tired of feeling like worthless villain and thought everyone would be better off without me. I’m now turning 17 in 4 days, still depressed as fook but I’m alive lols",suicide not sure early year try ems tired feel like worthless villain think well turn day depressed book alive loss
235610,Trae Tha Truth Charged With Assault for Fight With Z-Ro https://t.co/mjpv9crOIe,0,Trae Tha Truth Charged With Assault for Fight With Z-Ro https://t.co/mjpv9crOIe,trade truth charge assault fight
