,text,class,summary,cleaned
233801,"Dear God please kill me today, bring me back in like 5 days",0,"Dear God please kill me today, bring me back in like 5 days",dear god kill today bring like day
233802,"Guess im stuck home, Anyone doing anything on new years",0,"Guess im stuck home, Anyone doing anything on new years",guess stick home new year
233803,"Lulu - a charming cutie got a new home. 

😍😍 https://t.co/VPuM0QqEP0",0,"Lulu - a charming cutie got a new home. 

😍😍 https://t.co/VPuM0QqEP0",lulu charming cutie get new home
233804,Wtf are you doing Tommy,0,Wtf are you doing Tommy,whf tommy
233805,I can't wait to start this business group I wanna see all of us win,0,I can't wait to start this business group I wanna see all of us win,not wait start business group want win
233806,"Even no one said, but I know how useless am I..I’m a burden to them.",0,"Even no one said, but I know how useless am I..I’m a burden to them.",no say know useless burden
233807,"Tw//// suicide
.
.
.
.
.
.
.
I'm so fucking to kill myself right now but I really want to see him so bad.",1,"Tw//// suicide
.
.
.
.
.
.
.
I'm so fucking to kill myself right now but I really want to see him so bad.",suicide fucking kill right want bad
233808,"November home sales in Home Value So Cal are in and YOUR home's value has changed! 🏡📈 

Go to https://t.co/L6XJjEPFIM",0,"November home sales in Home Value So Cal are in and YOUR home's value has changed! 🏡📈 

Go to https://t.co/L6XJjEPFIM",november home sale home value cal home value change
233809,"So, in half an hour we have:

8 Xunicorns
1 Exotic
2 Legendary
8 Epic
19 Rare
15 Limited
311 Ruby
20 Opal
8 Topaz
4 Emerald
7 Aquamarine
4 Sapphire
3 Amethyst
14 Xenturion

460+ #XENFTs in total. Impressive!",0,"So, in half an hour we have:

8 Xunicorns
1 Exotic
2 Legendary
8 Epic
19 Rare
15 Limited
311 Ruby
20 Opal
8 Topaz
4 Emerald
7 Aquamarine
4 Sapphire
3 Amethyst
14 Xenturion

460+ #XENFTs in total. Impressive!",half hour unicorns exotic legendary epic rare limit ruby opal topaz emerald aquamarine sapphire amethyst centurion cent total impressive
233810,30-12-2022 23:59:01 https://t.co/MbAeCJeM9Y #BlastFMCountry 🔊 Lee Brice - Rumor,0,30-12-2022 23:59:01 https://t.co/MbAeCJeM9Y #BlastFMCountry 🔊 Lee Brice - Rumor,blast country lee brice rumour
233811,Everybody get to ESPN and QUICKLY,0,Everybody get to ESPN and QUICKLY,everybody esp quickly
233812,How is it that me with my (never used) certificate in medical reception has a better grasp of covid than actual medical professionals?,0,How is it that me with my (never used) certificate in medical reception has a better grasp of covid than actual medical professionals?,certificate medical reception well grasp covid actual medical professional
233813,"💰$1,400,000.00 $USDC transferred from 0x8ce1…2c00 to 0xb8ba…d7ef

See the full transaction: https://t.co/cOdctY6GOB

#crypto #ethereum #blockchain",0,"💰$1,400,000.00 $USDC transferred from 0x8ce1…2c00 to 0xb8ba…d7ef

See the full transaction: https://t.co/cOdctY6GOB

#crypto #ethereum #blockchain",transfer ice abba def transaction cry ethereal block chain
233814,"I don't wish to be everything to everyone, but I would like to be something to someone",0,"I don't wish to be everything to everyone, but I would like to be something to someone",not wish like
233815,i wish i could just disappear you know?,1,i wish i could just disappear you know?,wish disappear know
233816,"🔴Chill Global Daily Grind, Purgatory Meliodas on Jp Account Grind// Live... https://t.co/cuY78pq1bU via @YouTube",0,"🔴Chill Global Daily Grind, Purgatory Meliodas on Jp Account Grind// Live... https://t.co/cuY78pq1bU via @YouTube",chill global daily grind purgatory melinda account grind live youtube
233817,Eggnog in my ice coffee 😋,0,Eggnog in my ice coffee 😋,eggnog ice coffee
233818,I’ve gotten like 100 spam accounts following me recently,0,I’ve gotten like 100 spam accounts following me recently,get like spam account follow recently
233819,"#Jammin' M.I Abaga ft. Nas &amp; Olamide (@MI_Abaga) (@Nas) (@Olamide) - Bigger
Listen on FM &amp; DAB Radio in the UK | on Alexa Skills | Google Assistant | on Mobile Apps | and Online 
#AfrobeatRadio #CosoroRadioUK #Cosoro #CosoroRadio",0,"#Jammin' M.I Abaga ft. Nas &amp; Olamide (@MI_Abaga) (@Nas) (@Olamide) - Bigger
Listen on FM &amp; DAB Radio in the UK | on Alexa Skills | Google Assistant | on Mobile Apps | and Online 
#AfrobeatRadio #CosoroRadioUK #Cosoro #CosoroRadio",jam abaca amp polyamide abaca polyamide big listen pm amp dab radio alex skills google assistant mobile app online adobe radio comoro radio comoro color radio
233820,Saw The Whale and found the online backlash towards it not something I agreed it. I think it's up there with Aronofsky's better movies. Stacked with incredible performances and an outstanding score. Really well done flick. Glad Aronofsky's getting to make movies,0,Saw The Whale and found the online backlash towards it not something I agreed it. I think it's up there with Aronofsky's better movies. Stacked with incredible performances and an outstanding score. Really well done flick. Glad Aronofsky's getting to make movies,see whale find online backlash not agree think aron sky well movie stack incredible performance outstanding score flick glad aron sky getting movie
233821,127 IN TWO WEEKS 🤩,0,127 IN TWO WEEKS 🤩,week
233822,"U DREW STARS AROUND MY SCARS, BUT NOW I’M BLEEDING",0,"U DREW STARS AROUND MY SCARS, BUT NOW I’M BLEEDING",draw star scar bleed
233823,"Fun fact: people call me a drunk, alcoholic, blah blah.. truth is I’m too much of a pussy to shoot myself or slit my throat. Ever since my dad passed I’ve wanted to die and the only way I can get myself to kill myself is alcohol. The day is stop drinking is the day I want to live",1,"Fun fact: people call me a drunk, alcoholic, blah blah.. truth is I’m too much of a pussy to shoot myself or slit my throat. Ever since my dad passed I’ve wanted to die and the only way I can get myself to kill myself is alcohol. The day is stop drinking is the day I want to live",fun fact people drunk alcoholic blah blah truth pussy shoot slit throat dad pass want die way kill alcohol day stop drink day want live
233824,"HOSEOKS GOING TO KILL IT‼️

#JungHoseok #JHOPE #HobiRockinEve #BTSJHOPE #JhopeatRockinEve #JhopeMadeHistory #RockinEve https://t.co/fsuFhjb5Jn",0,"HOSEOKS GOING TO KILL IT‼️

#JungHoseok #JHOPE #HobiRockinEve #BTSJHOPE #JhopeatRockinEve #JhopeMadeHistory #RockinEve https://t.co/fsuFhjb5Jn",hose oks go kill bunghole hope hobart chinese hope jhopeatrockineve homemade history rock
233825,Stuck on the bench? Take offensive fouls better than anyone else on the team. Your coach will HAVE to give you rotations.,0,Stuck on the bench? Take offensive fouls better than anyone else on the team. Your coach will HAVE to give you rotations.,stick bench offensive foul well team coach rotation
233826,New favorite joke is every time my mom complains about my dad I start singing Cell Block Tango from Chicago,0,New favorite joke is every time my mom complains about my dad I start singing Cell Block Tango from Chicago,new favourite joke time mon complain dad start singe cell block tango chicago
233827,i’m gonna kill myself soon,1,i’m gonna kill myself soon,go kill soon
233828,"I hope when the man I’m supposed to marry asks me to marry him he tells me I’m his dream girl. 
Lawd.. I’ll cry.. I know it.  🥺😭
Such a statement.",0,"I hope when the man I’m supposed to marry asks me to marry him he tells me I’m his dream girl. 
Lawd.. I’ll cry.. I know it.  🥺😭
Such a statement.",hope man suppose marry ask marry tell dream girl law cry know statement
233829,gonna do shrooms and watch The Wiz synced with Dub Side of the Moon,0,gonna do shrooms and watch The Wiz synced with Dub Side of the Moon,go shr om watch wiz sync dub moon
233830,My whole tl is about the weather. Shut up.,0,My whole tl is about the weather. Shut up.,weather shut
233831,"Wow, South Carolina Gamecocks with the 100-yard pick-six on Notre Dame",0,"Wow, South Carolina Gamecocks with the 100-yard pick-six on Notre Dame",wow south carolina gamecock yard pick not dame
233832,This is how it’s done; destruction of the family unit has always been the plan for decades. Fast track to New World order. https://t.co/gezyjxM4NN,0,This is how it’s done; destruction of the family unit has always been the plan for decades. Fast track to New World order. https://t.co/gezyjxM4NN,destruction family unit plan decade fast track new world order
233833,Butterflies Crocs Hippie Sunflowers Gift Hippie Girl Crocs Shoes Rubber Crocs Clog Shoes Comfy Footwear https://t.co/rAtCvReyAf,0,Butterflies Crocs Hippie Sunflowers Gift Hippie Girl Crocs Shoes Rubber Crocs Clog Shoes Comfy Footwear https://t.co/rAtCvReyAf,butterfly cross hippie sunflower gift hippie girl cross shoe rubber cross clog shoe comfy footwear
233834,Kinda wanna take a bottle of wine in my parents wine cupboard and drown myself in it,0,Kinda wanna take a bottle of wine in my parents wine cupboard and drown myself in it,kind want bottle wine parent wine cupboard drown
233835,"December 31st - It’s New Year’s Eve! Here’s a Mummers Tune to get you in the New Year’s Day mood from the Ferko String Band.
https://t.co/lPGv0s12Lq",0,"December 31st - It’s New Year’s Eve! Here’s a Mummers Tune to get you in the New Year’s Day mood from the Ferko String Band.
https://t.co/lPGv0s12Lq",december st new year eve mummer tune new year day mood string band
233836,"“Don’t f--king touch me.”

Texas HC Steve Sarkisian wanted no part of this employee making sure he didn't get too close before the Alamo Bowl 😳

🎥: @AnwarRichardson
https://t.co/NXs6TYCK88",0,"“Don’t f--king touch me.”

Texas HC Steve Sarkisian wanted no part of this employee making sure he didn't get too close before the Alamo Bowl 😳

🎥: @AnwarRichardson
https://t.co/NXs6TYCK88",not king touch texas steve parisian want no employee make sure not close alamo bowl anna richardson
233837,"Extra, extra, the MUSIC BOX FILM CALENDAR is back!

Check out our Jan/Feb 2023 schedule, available now at the Theatre (Limited printing run — And Music Box Members, yours will arrive in the mail soon!) https://t.co/C17VnojAzS",0,"Extra, extra, the MUSIC BOX FILM CALENDAR is back!

Check out our Jan/Feb 2023 schedule, available now at the Theatre (Limited printing run — And Music Box Members, yours will arrive in the mail soon!) https://t.co/C17VnojAzS",extra extra music box film calendar check jan feb schedule available theatre limit printing run music box member arrive mail soon
233838,I just did a FB Live on this very reality!  Check out Crystal Johnson's video! #TikTok https://t.co/Umrs9qFOQb,0,I just did a FB Live on this very reality!  Check out Crystal Johnson's video! #TikTok https://t.co/Umrs9qFOQb,feb live reality check crystal johnson video tito
233839,Hot water tank temperatures at: 2022/12/30 23:55:05 top=42.5 side=37.0 middle=34.5 stat=35.0 bottom=31.875 board=20.312 loft=12.0 CPU=39.5,0,Hot water tank temperatures at: 2022/12/30 23:55:05 top=42.5 side=37.0 middle=34.5 stat=35.0 bottom=31.875 board=20.312 loft=12.0 CPU=39.5,hot water tank temperature middle stat board loft cup
233840,"Just one day after igniting a Twitter feud with 19 year-old climate activist Greta Thunberg, far-right media personality and kickboxer Andrew Tate wa Want more info? visit https://t.co/mT1CLWQZZJ and FOLLOW @SoCalTelevision",0,"Just one day after igniting a Twitter feud with 19 year-old climate activist Greta Thunberg, far-right media personality and kickboxer Andrew Tate wa Want more info? visit https://t.co/mT1CLWQZZJ and FOLLOW @SoCalTelevision",day ignite twitter feud year old climate activist greta thu berg far right medium personality kick boxer andrew tate want info visit follow local television
233841,"""Counterfeit Electoral Slates"" .......smh. https://t.co/Pkg3BtGZ0T",0,"""Counterfeit Electoral Slates"" .......smh. https://t.co/Pkg3BtGZ0T",counterfeit electoral slate sch
233842,"Ana hear me, Ana baby, I'm not crazy",0,"Ana hear me, Ana baby, I'm not crazy",ana hear ana baby not crazy
233843,Help me share this Nightstick &amp; Alien Gear Ultimate 9mm Dream Package giveaway for more entries! https://t.co/rxAIS8wphL,0,Help me share this Nightstick &amp; Alien Gear Ultimate 9mm Dream Package giveaway for more entries! https://t.co/rxAIS8wphL,help share nightstick amp alien gear ultimate dream package giveaway entry
233844,"I'm in the stage where I hate everything about me, about my life. If I'm just brave enough to slit my throat or hang myself, I could have done that to end my suffering.",1,"I'm in the stage where I hate everything about me, about my life. If I'm just brave enough to slit my throat or hang myself, I could have done that to end my suffering.",stage hate life brave slit throat hang end suffering
233845,The driver of the car in front on the highway is playing online slots on a big screen lol,0,The driver of the car in front on the highway is playing online slots on a big screen lol,driver car highway play online slot big screen low
233846,"⚠️  SECOND NORTH KOREAN MISSILE APPEARS TO HAVE LANDED OUTSIDE JAPAN'S EEZ - NHK

- https://t.co/wXVagA44VK",0,"⚠️  SECOND NORTH KOREAN MISSILE APPEARS TO HAVE LANDED OUTSIDE JAPAN'S EEZ - NHK

- https://t.co/wXVagA44VK",second north korean missile appear land outside japan
233847,a part of me wants pizza and a part of me wants chicken nuggets,0,a part of me wants pizza and a part of me wants chicken nuggets,want pizza want chicken nugget
233848,sou chatao,0,sou chatao,sou cha tao
233849,"-grrrwwll- Brain is being stupid today.
I may just drown myself in commission work.",0,"-grrrwwll- Brain is being stupid today.
I may just drown myself in commission work.",brain stupid today drown commission work
233850,committing . sewer slide,1,committing . sewer slide,commit sewer slide
