,text,class,summary,cleaned
235751,"Just wondering when coach trips to Scotland will become available for trans identifying English men with a taste for mini skirts and stiletto heels, MAPs and gendered people of every sort? Sounds like it's turning into a libertarian paradise up there.
https://t.co/dMp6pk3H0U",0,"Just wondering when coach trips to Scotland will become available for trans identifying English men with a taste for mini skirts and stiletto heels, MAPs and gendered people of every sort? Sounds like it's turning into a libertarian paradise up there.
https://t.co/dMp6pk3H0U",wonder coach trip scotland available tran identify english man taste mini skirt stiletto heel map gendered people sort sound like turn libertarian paradise
235752,I want a tote bag in all the colours 🥹,0,I want a tote bag in all the colours 🥹,want tote bag colour
235753,"Just posted a photo @ Tema, Ghana https://t.co/8C7UJW4SgY",0,"Just posted a photo @ Tema, Ghana https://t.co/8C7UJW4SgY",post photo team ghana
235754,"it was at this point that i knew, i fucked up https://t.co/OUkNOlTTli",0,"it was at this point that i knew, i fucked up https://t.co/OUkNOlTTli",point know fuck
235755,I really just lost my appetite 😭 like tf,0,I really just lost my appetite 😭 like tf,lose appetite like
235756,"WHAT THE FUCK, I HAD A DREAM I WAS DATING JIMI HENDRIX, omfg i’m gonna hang myself",0,"WHAT THE FUCK, I HAD A DREAM I WAS DATING JIMI HENDRIX, omfg i’m gonna hang myself",fuck dream date jim hendrix mfg go hang
235757,Went to the park! Plan on maybe throwing some thin gouache on this https://t.co/7kVJSspU1N,0,Went to the park! Plan on maybe throwing some thin gouache on this https://t.co/7kVJSspU1N,go park plan maybe throw thin gouache
235758,today is a stupid day I want to overdose on pizza,0,today is a stupid day I want to overdose on pizza,today stupid day want overdose pizza
235759,Big thanks to all the people I met at the Hawkeye Huddle and out in Nashville. Your perspective is appreciated and helps me do my job better. Thanks for the all the kind words.,0,Big thanks to all the people I met at the Hawkeye Huddle and out in Nashville. Your perspective is appreciated and helps me do my job better. Thanks for the all the kind words.,big thank people meet hawk eye huddle nashville perspective appreciate help job well thank kind word
235760,yea i’m just a failure and a disappointment here i don’t deserve to be alive rn,1,yea i’m just a failure and a disappointment here i don’t deserve to be alive rn,yea failure disappointment not deserve alive right
235761,"#ThingsIDefinitelyLookForwardTo
The taste of bacon. https://t.co/iAbOgqZopD",0,"#ThingsIDefinitelyLookForwardTo
The taste of bacon. https://t.co/iAbOgqZopD",thingsidefinitelylookforwardto taste bacon
235762,Panto season is soon upon us!,0,Panto season is soon upon us!,panto season soon
235763,This Notre Dame South Carolina game is CRAZY!,0,This Notre Dame South Carolina game is CRAZY!,not dame south carolina game crazy
235764,It’s 31 December 😱,0,It’s 31 December 😱,december
235765,how I wish I didn't exist,1,how I wish I didn't exist,wish not exist
235766,The only thing I want from MadoMagi at this point is a Muppets adaptation where Homura is the single actual human,0,The only thing I want from MadoMagi at this point is a Muppets adaptation where Homura is the single actual human,thing want mad magi point puppet adaptation hour single actual human
235767,one person unfollowed me // automatically checked by https://t.co/3nCbYhL5Uz,0,one person unfollowed me // automatically checked by https://t.co/3nCbYhL5Uz,person follow automatically check
235768,how to kill myself without breaking my mom heart,1,how to kill myself without breaking my mom heart,kill break mon heart
235769,"😭😭😭fakhi, I’d hang myself  actually #FootyTwitterDatingShow
Even if you were joking, they still don’t want you",0,"😭😭😭fakhi, I’d hang myself  actually #FootyTwitterDatingShow
Even if you were joking, they still don’t want you",fake hang actually footytwitterdatingshow joke not want
235770,As he faced the sun he cast no shadow,0,As he faced the sun he cast no shadow,face sun cast no shadow
235771,"My mom: *indirectly saying how they have to waste so much money on me and so*

Me: *directly saying I wish I didn't exist to consume their money like a parasite""

Also my mom: how dare you say that?!?! Why would you say that??!!! How tc could you sbsujicgxnj *and loses her shit*",1,"My mom: *indirectly saying how they have to waste so much money on me and so*

Me: *directly saying I wish I didn't exist to consume their money like a parasite""

Also my mom: how dare you say that?!?! Why would you say that??!!! How tc could you sbsujicgxnj *and loses her shit*",mon indirectly say waste money directly say wish not exist consume money like parasite mon dare sbsujicgxnj lose shit
235772,I want to take my life seriously but I am too lazy to do that. 🙃,0,I want to take my life seriously but I am too lazy to do that. 🙃,want life seriously lazy
235773,"(tw:suicide) I used to want to die to relieve myself of mental pain, but now I want to die because it seems like there’s no other way out of this awful corrupt planet",1,"(tw:suicide) I used to want to die to relieve myself of mental pain, but now I want to die because it seems like there’s no other way out of this awful corrupt planet",suicide want die relieve mental pain want die like no way awful corrupt planet
235774,Tripping almost forgot get my laundry out the way tonight,0,Tripping almost forgot get my laundry out the way tonight,trip forgot laundry way tonight
235775,love SUPER JUNIOR !!,0,love SUPER JUNIOR !!,love super junior
235776,"I moan in agreement. Yes, sir. I am studying you very closely to ensure that your cock is pleasured as much as being able to see heightens",0,"I moan in agreement. Yes, sir. I am studying you very closely to ensure that your cock is pleasured as much as being able to see heightens",moan agreement yes sir study closely ensure cock pleasure able heighten
235777,7 people followed me // automatically checked by https://t.co/RnG4d69mpr,0,7 people followed me // automatically checked by https://t.co/RnG4d69mpr,people follow automatically check
235778,The Google Pixel 7's rear camera glass spontaneously shatters for some  Android PoliceGoogle Pixel 7 and 7 Pro rear camera glass allegedly shattering  PiunikaWebSeveral Pixel 7 owners report spontaneously shattering camera glass ...,0,The Google Pixel 7's rear camera glass spontaneously shatters for some  Android PoliceGoogle Pixel 7 and 7 Pro rear camera glass allegedly shattering  PiunikaWebSeveral Pixel 7 owners report spontaneously shattering camera glass ...,google pixel rear camera glass spontaneously shatter android police google pixel pro rear camera glass allegedly shatter piunikawebseveral pixel owner report spontaneously shatter camera glass
235779,My apartment smells amazing after boiling this tea for my coquito 😌,0,My apartment smells amazing after boiling this tea for my coquito 😌,apartment smell amazing boil tea co quito
