,text,class,summary,cleaned
219001,you ll be sorry when i m gone ,1,you ll be sorry when i m gone ,sorry gone
219002,you ll be sorry when i m gone,1,you ll be sorry when i m gone,sorry gone
219003,what is something you have always wanted to try hm cutting wrist not eating till i get super thin jk ha ,1,what is something you have always wanted to try hm cutting wrist not eating till i get super thin jk ha ,want try cut wrist not eat till super think
219004,had one of those fretful nights hoping today goes well sword of damocles is hanging above me for some reason ,1,had one of those fretful nights hoping today goes well sword of damocles is hanging above me for some reason ,fretful night hope today go sword damocle hang reason
219005, had one of those fretful nights hoping today goes well sword of damocles is hanging above me for some reason ,1, had one of those fretful nights hoping today goes well sword of damocles is hanging above me for some reason ,fretful night hope today go sword damocle hang reason
219006,heavy hearted ,1,heavy hearted ,heavy hearted
219007, shoutout to for almost cutting my wrist off and for almost catching my whole arm on fire ,1, shoutout to for almost cutting my wrist off and for almost catching my whole arm on fire ,shout cut wrist catch arm fire
219008,hey guys i m back home today is kind of cheerless i just want to go to bed and sleep d ,1,hey guys i m back home today is kind of cheerless i just want to go to bed and sleep d ,hey guy home today kind cheerless want bed sleep
219009,you ll be sorry when i m gone ,1,you ll be sorry when i m gone ,sorry gone
219010,ehret tripping now they be cutting they wrist and shit hanging they self they on that dope here,1,ehret tripping now they be cutting they wrist and shit hanging they self they on that dope here,egret tripping cut wrist shit hang self dope
219011,i ve given up today and am just composing this kind of text ,1,i ve given up today and am just composing this kind of text ,give today compose kind text
219012,so heavy hearted today ,1,so heavy hearted today ,heavy hearted today
219013,do you often get the feeling that perhaps life isn t worth living ,1,do you often get the feeling that perhaps life isn t worth living ,feeling life worth live
219014,feel like just ending it all my life isn t worth living without you in it ,1,feel like just ending it all my life isn t worth living without you in it ,feel like end life worth live
219015,noreen suicidal lang cutting your wrist hahaha x ,1,noreen suicidal lang cutting your wrist hahaha x ,noreen suicidal lang cut wrist hah aha
219016,i bet i wud be cutting my wrist now if i were a girl but hey turn to allahswt its just a test from him haidar ,1,i bet i wud be cutting my wrist now if i were a girl but hey turn to allahswt its just a test from him haidar ,bet d cut wrist girl hey turn allah test haida
219017, this weather makes me wish i were dead ,1, this weather makes me wish i were dead ,weather make wish dead
219018,i m too depressed to go on you ll be sorry when i m gone,1,i m too depressed to go on you ll be sorry when i m gone,depressed sorry gone
219019,i m too depressed to go on you ll be sorry when i m gone ,1,i m too depressed to go on you ll be sorry when i m gone ,depressed sorry gone
219020, suicide attack ,1, suicide attack ,suicide attack
219021, you ll be sorry when i m gone you re gonna miss me when i m gone,1, you ll be sorry when i m gone you re gonna miss me when i m gone,sorry go go miss gone
219022,heavy hearted ,1,heavy hearted ,heavy hearted
219023,life really isn t worth living ,1,life really isn t worth living ,life worth live
219024,you ll be sorry when i m gone ,1,you ll be sorry when i m gone ,sorry gone
219025,i m too depressed to go on you ll be sorry when i m gone,1,i m too depressed to go on you ll be sorry when i m gone,depressed sorry gone
219026,i wish you were dead ,1,i wish you were dead ,wish dead
219027, before i die i want to,1, before i die i want to,die want
219028, before i die i want to,1, before i die i want to,die want
219029,and should you die before me i ll do the same ,1,and should you die before me i ll do the same ,die ill
219030,i wanna get away but i don t know where i don t want to leave ,1,i wanna get away but i don t know where i don t want to leave ,want away don know don want leave
219031, i m more depressed then ever ,1, i m more depressed then ever ,depressed
219032,depressed angry tired done,1,depressed angry tired done,depress angry tired
219033,very disappointed isn t offering anything closet to an alternative ,1,very disappointed isn t offering anything closet to an alternative ,disappointed offer closet alternative
219034,disappointed ,1,disappointed ,disappoint
219035, i m so heartbroken by this my prayers go out to her family and friends ,1, i m so heartbroken by this my prayers go out to her family and friends ,heartbroken prayer family friend
219036,i m hopeless and awkward and desperate ,1,i m hopeless and awkward and desperate ,hopeless awkward desperate
219037,full on harassing me at the end of school,1,full on harassing me at the end of school,harass end school
219038,drowning my sorrows in dirty chai and tattoo shows,1,drowning my sorrows in dirty chai and tattoo shows,drown sorrow dirty chat tattoo show
219039,she s all alone again wipping the tears from her eyes someday she feels like dying she gets so sick of crying ,1,she s all alone again wipping the tears from her eyes someday she feels like dying she gets so sick of crying ,tip tear eye someday feel like die get sick cry
219040,or wake at night alone i am to wait i do not doubt i am to meet you again i am to see to it that i do not lose you ,1,or wake at night alone i am to wait i do not doubt i am to meet you again i am to see to it that i do not lose you ,wake night wait not doubt meet not lose
219041,feel so alone :(,1,feel so alone :(,feel
219042,i just need to leave her alone before i scare her away,1,i just need to leave her alone before i scare her away,need leave scare away
219043,well i tried to live without you and tears fall from my eyes i m alone and i feel empty god i m torn apart inside ,1,well i tried to live without you and tears fall from my eyes i m alone and i feel empty god i m torn apart inside ,try live tear fall eye malone feel god tear apart inside
219044,he looks so dejected and sad :(,1,he looks so dejected and sad :(,look dejected sad
219045, i walk this empty street along the boulevard of broken dreams ,1, i walk this empty street along the boulevard of broken dreams ,walk street boulevard break dream
219046,i m such an outcast in my family ,1,i m such an outcast in my family ,outcast family
219047,what a day isolated status ,1,what a day isolated status ,day isolated status
219048,annoyed and upset ,1,annoyed and upset ,annoy upset
219049,i am unbearably alone,1,i am unbearably alone,unbearably
219050,this movie got me all kids of depressed and disoriented like which way is up and down ,1,this movie got me all kids of depressed and disoriented like which way is up and down ,movie get kid depressed disorient like way
