,text,class,summary,cleaned
217101,on the way ssc little bit headache and my nose still full of ingus haha so that my ears got disturbed too,0,on the way ssc little bit headache and my nose still full of ingus haha so that my ears got disturbed too,way sec little bit headache nose hama ear got disturb
217102,my computer has a virus wat am i gonna do,0,my computer has a virus wat am i gonna do,computer virus wat go
217103, me back ,0, me back ,
217104, that is no way to start a week glad you re there to tweet about it,0, that is no way to start a week glad you re there to tweet about it,no way start week glad tweet
217105,tonsilitus sucks ,0,tonsilitus sucks ,tonsillitis suck
217106, slaps don t you ever do that to my twin everr you psycho no i m sorry ,0, slaps don t you ever do that to my twin everr you psycho no i m sorry ,slap don twin psycho no sorry
217107,not liking this time of the morning ,0,not liking this time of the morning ,not like time morning
217108, lol i thought you were showing us a picture of something you drew in a studio i m actually quite dissapointed ,0, lol i thought you were showing us a picture of something you drew in a studio i m actually quite dissapointed ,low think show picture draw studio actually disappointed
217109,oh joy nodded off again now i m running late ,0,oh joy nodded off again now i m running late ,joy nod run late
217110,being forced to create a twitter account ,0,being forced to create a twitter account ,force create twitter account
217111,is feeling gutted after today s announcement ,0,is feeling gutted after today s announcement ,feeling gutte today announcement
217112,no i didn t i have 2 call him monday,0,no i didn t i have 2 call him monday,no monday
217113,any anti filter plz i can not login my weblog ,0,any anti filter plz i can not login my weblog ,anti filter ply not login weblog
217114,has had a really bad weekend hopefully this week will be better i doubt it somehow haha,0,has had a really bad weekend hopefully this week will be better i doubt it somehow haha,bad weekend hopefully week well doubt hama
217115,boarding bye bye britain ,0,boarding bye bye britain ,boarding bye bye britain
217116,tummy hurts ,0,tummy hurts ,tummy hurt
217117,work work work work yay ,0,work work work work yay ,work work work work
217118,no matter how positive you try to be there s always someone waiting there to drag you down ,0,no matter how positive you try to be there s always someone waiting there to drag you down ,no matter positive try wait drag
217119, mai is a meano today ,0, mai is a meano today ,mai mean today
217120,just got upi can feel a yawn coming on aaugh there we go owww school tomorrow ,0,just got upi can feel a yawn coming on aaugh there we go owww school tomorrow ,get feel yawn come laugh school tomorrow
217121, no sorry im too far away at the moment sorry but lauren s going,0, no sorry im too far away at the moment sorry but lauren s going,no sorry far away moment sorry lauren go
217122,tired and head hurts from toda ,0,tired and head hurts from toda ,tired head hurt
217123, got a headache,0, got a headache,get headache
217124,feels sorry for nana because she thinks every question i ask her is demanding an excuse for her actions how sad just converse with me,0,feels sorry for nana because she thinks every question i ask her is demanding an excuse for her actions how sad just converse with me,feel sorry anna think question ask demand excuse action sad converse
217125,ill not happy too nice a day to feel this crap ,0,ill not happy too nice a day to feel this crap ,ill not happy nice day feel crap
217126, ohh thank you i know she is defo there on thursday shes playing in the apple store but i can t go that day lol thanks ,0, ohh thank you i know she is defo there on thursday shes playing in the apple store but i can t go that day lol thanks ,och thank know demo thursday play apple store day low thank
217127,wondering if i should continue working watch a movie or try to go to bed ,0,wondering if i should continue working watch a movie or try to go to bed ,wonder continue work watch movie try bed
217128,why is it so hot ,0,why is it so hot ,hot
217129, i cant help it ,0, i cant help it ,not help
217130, maybe it s tropical up there machan but here it s pure hell ,0, maybe it s tropical up there machan but here it s pure hell ,maybe tropical mach pure hell
217131,my mileycyrus edit wont uploaaaaaaaaaaad i ask my daddy to fix it ,0,my mileycyrus edit wont uploaaaaaaaaaaad i ask my daddy to fix it ,mile cyrus edit not upload ask daddy fix
217132,i wish i could pay someone to do my laundry at 3 am so i could get 5 hours of sleep instead of 3 ,0,i wish i could pay someone to do my laundry at 3 am so i could get 5 hours of sleep instead of 3 ,wish pay laundry hour sleep instead
217133,aargh mouse needs batteries ,0,aargh mouse needs batteries ,large mouse need battery
217134,i dont get how weird people find me on here they even follow me and say f all ,0,i dont get how weird people find me on here they even follow me and say f all ,not weird people find follow fall
217135,but i still don t have any perfect experiments to show them ,0,but i still don t have any perfect experiments to show them ,don perfect experiment
217136, oh right fair enough ,0, oh right fair enough ,right fair
217137,i hate moving ,0,i hate moving ,hate move
217138, because i am in chicago where it has rained for past 24 hours and not gonna stop til tuesday ,0, because i am in chicago where it has rained for past 24 hours and not gonna stop til tuesday ,chicago rain past hour not go stop til tuesday
217139,studying while thinking of makeup is no fun ,0,studying while thinking of makeup is no fun ,study thinking makeup no fun
217140,making sure this new biz unit doesn t drown us with debt nice numbers on their sheet showing profithowever no strategy to maintain it,0,making sure this new biz unit doesn t drown us with debt nice numbers on their sheet showing profithowever no strategy to maintain it,make sure new biz unit drown debt nice number sheet show profit no strategy maintain
217141,oh godmash documentary i wanna watch but should go to bed ,0,oh godmash documentary i wanna watch but should go to bed ,god ash documentary want watch bed
217142,i don t want to go to work ,0,i don t want to go to work ,don want work
217143,why is this honey and lemon burning my throat ,0,why is this honey and lemon burning my throat ,honey lemon burn throat
217144, it s been been resting uni starts again today as was easter holidays the last 2wks back to reality and you,0, it s been been resting uni starts again today as was easter holidays the last 2wks back to reality and you,rest uni start today easter holiday reality
217145, haha i should i just have to find a empty place to put it cept the neighborhood i would live in doesn t have any ,0, haha i should i just have to find a empty place to put it cept the neighborhood i would live in doesn t have any ,hama find place cent neighbourhood live
217146,dangit twitter im still up should be sleeping now i got 4 hours till i wake up gunna be sleepy at school night fo real this time xoxo,0,dangit twitter im still up should be sleeping now i got 4 hours till i wake up gunna be sleepy at school night fo real this time xoxo,dang twitter sleep get hour till wake go to sleepy school night real time
217147,the healthiness starts today just had an orange and a banana for breakfast the juice from the orange peel got into my cut on my lip ,0,the healthiness starts today just had an orange and a banana for breakfast the juice from the orange peel got into my cut on my lip ,healthiness start today orange banana breakfast juice orange peel get cut lip
217148,in and ready for work what to do ohcorrections on fridays work ,0,in and ready for work what to do ohcorrections on fridays work ,ready work correction friday work
217149,looking forward to getting home tomorrow i miss ,0,looking forward to getting home tomorrow i miss ,look forward get home tomorrow miss
217150,the job centre sucks balls i desperately need to find work ,0,the job centre sucks balls i desperately need to find work ,job centre suck ball desperately need find work
