,text,class,summary,cleaned
211751,@aaronspears She's soo cute Good luck with the museum thing... lol,0,@aaronspears She's soo cute Good luck with the museum thing... lol,aaron spear cute good luck museum thing low
211752,Working like crazy,0,Working like crazy,work like crazy
211753,"@likeaword I *love* it, SO exciting to see new growth everywhere! insects making most of first pollen, bustling in hedges, birdsong",0,"@likeaword I *love* it, SO exciting to see new growth everywhere! insects making most of first pollen, bustling in hedges, birdsong",like word love exciting new growth insect make pollen bustle hedge birdsong
211754,Chillin with Lucy...beautiful day today,0,Chillin with Lucy...beautiful day today,chill lucy beautiful day today
211755,Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,0,Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,try quot delicious library quot mixed result bar code think want add sport bra instead drill cool app
211756,"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",0,"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",mark rock start roque star thing not
211757,"Awake....hopin my big brother gots time 4 me 2day, just a lil bit atleast. Yay but Katelyn might come up to hang with me",0,"Awake....hopin my big brother gots time 4 me 2day, just a lil bit atleast. Yay but Katelyn might come up to hang with me",awake hop big brother get time day oil bit katelyn come hang
211758,We were approved for a cute townhome so much closer to work! I'm so excited!,0,We were approved for a cute townhome so much closer to work! I'm so excited!,approve cute town home close work excited
211759,"@edwinksl Stanford Summit 2008 short video http://www.youtube.com/watch?v=YAxcVIJu-XQ . Remebering magical, funtastic,roller coaster ride",0,"@edwinksl Stanford Summit 2008 short video http://www.youtube.com/watch?v=YAxcVIJu-XQ . Remebering magical, funtastic,roller coaster ride",edwin stanford summit short video remember magical fantastic roller coaster ride
211760,@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,0,@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,stacy bob eat candy cigarette not eat wax drink coke eat candy lip
211761,Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,0,Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,hey marie welcome twitter feed morning
211762,@SashaMcfly niiiceee,0,@SashaMcfly niiiceee,sasha fly nice
211763,prays for his new job career. praise god i got a new job.,0,prays for his new job career. praise god i got a new job.,pray new job career praise god get new job
211764,I LOVE sleeping until I'm FINISHED!,0,I LOVE sleeping until I'm FINISHED!,love sleep finish
211765,"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",0,"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",swingle conversation tonia saar dependent internet mobile phone nowadays
211766,More deinstallation fun: wielding power drills &amp; being in love with my spreadsheet organization,0,More deinstallation fun: wielding power drills &amp; being in love with my spreadsheet organization,de installation fun wield power drill amp love spreadsheet organization
211767,"is reading through some interesting articles on our own Extranet, surprisingly good stuff",0,"is reading through some interesting articles on our own Extranet, surprisingly good stuff",read interesting article extra net surprisingly good stuff
211768,@RapierTwit People say they feel expressionistic - I've never heard them say pointalistic,0,@RapierTwit People say they feel expressionistic - I've never heard them say pointalistic,rapi wit people feel expressionistic hear point list
211769,"@psandalio yeah, I remembered reading about that, I think someone else mentioned it.There's still room in the market",0,"@psandalio yeah, I remembered reading about that, I think someone else mentioned it.There's still room in the market",sandal yeah remember read think mention room market
211770,Taking son to have his braces taken of Big day in teen age boy's life!,0,Taking son to have his braces taken of Big day in teen age boy's life!,take son brace take big day teen age boy life
211771,getting ready for class. much rather sleep,0,getting ready for class. much rather sleep,get ready class sleep
211772,I want one of those http://bit.ly/9m1kO,0,I want one of those http://bit.ly/9m1kO,want
211773,"@horrorshock666 Oh, the puns. The bad, bad puns. I think I'll quite like the new clear sounds though x",0,"@horrorshock666 Oh, the puns. The bad, bad puns. I think I'll quite like the new clear sounds though x",horror shock pun bad bad pun think like new clear sound
211774,- Sitting in the studio talking to Danniee Beee who is ignoring me as he is adding friends to his Facebook;that is until he reads this,0,- Sitting in the studio talking to Danniee Beee who is ignoring me as he is adding friends to his Facebook;that is until he reads this,sit studio talk dannie bee ignore add friend facebook read
211775,homework ALL day... 2 assignments due by 4:30 (but they're almost done!),0,homework ALL day... 2 assignments due by 4:30 (but they're almost done!),homework day assignment
211776,@shruticute Hmmm... my mom... well... thanni thelichu vettutaanga...,0,@shruticute Hmmm... my mom... well... thanni thelichu vettutaanga...,shut cute hmm mon light ventura anna
211777,Tomorrow is going to be GREAT! - Altho if I get eaten by a dinosaur Im blaming Sophie.,0,Tomorrow is going to be GREAT! - Altho if I get eaten by a dinosaur Im blaming Sophie.,tomorrow go great eat dinosaur blame sophie
211778,"@MoonwoodFarm Yes, the gloves are my pattern. I've made lots of gloves on my looms",0,"@MoonwoodFarm Yes, the gloves are my pattern. I've made lots of gloves on my looms",moon farm yes glove pattern lot glove loom
211779,Tyson smells like cookies.,0,Tyson smells like cookies.,tyson smell like cookie
211780,"@Wiggly I do I thank them for example when their code doesn't have many bugs, or when they make it easy for me to automate.",0,"@Wiggly I do I thank them for example when their code doesn't have many bugs, or when they make it easy for me to automate.",wiggly thank example code not bug easy automate
211781,schï¿½nes Marketingwort: Stimulus Package http://www.dkny.com/sweepstakes/sweepstakes.php,0,schï¿½nes Marketingwort: Stimulus Package http://www.dkny.com/sweepstakes/sweepstakes.php,shine marketing wort stimulus package
211782,@mrsgiggles83 hey black hair suits u by the way,0,@mrsgiggles83 hey black hair suits u by the way,mrs giggle hey black hair suit way
211783,@gypsytrading,0,@gypsytrading,gypsy trading
