,text,class,summary,cleaned
58900,Why do some girls wear their guys clothes  Someone it was pheromone related,0,Why do some girls wear their guys clothes  Someone it was pheromone related,girl wear guy clothe pheromone relate
58901,Why do I feel the urge to kill myself when I see people socializing It s probably because I am not blessed with the level of charisma a lot of people were born with  I mean  who wants to be with someone whose personality is that of a cardboard box,1,Why do I feel the urge to kill myself when I see people socializing It s probably because I am not blessed with the level of charisma a lot of people were born with  I mean  who wants to be with someone whose personality is that of a cardboard box,feel urge kill people socialize probably not bless level charisma lot people bear mean want personality cardboard box
58902,When your family chooses to unleash their troubles and start fighting during a depressive episode especially after you revealed all of it to themYay for family toxicity,1,When your family chooses to unleash their troubles and start fighting during a depressive episode especially after you revealed all of it to themYay for family toxicity,family choose unleash trouble start fight depressive episode especially reveal family toxicity
58903,Anger SO enraged so done so pissed of being the last things on peoples minds so tired of living as a fucking rage ball so tired of feeling trapped  I m so tired of hurting people  The last time I let out my anger I scared and almost harmed people right in front of my ex  Losing control every single hour little by little  I m not going to meet anyone I walk alone and I always will  No one has ever liked me except for her  Everything is gone  Now I m losing my honor the one thing I always had more of  Why am I so bound  I want to be free  Everyone is gone and or moving away from me  Am I supposed to just fucking be in pain for more entire life  I love people and I am so loyal to them  But they don t love me back  So I dropped all of them  The rest are going to be gone soon  I loved her but she didn t love me is it me  her  I still don t want to live without her  Fuck theres so much too much on my mind  They d only care when i d be gone  JUST GO FUCK YOURSELF BEFORE I FUCKING KILL YOU  GET OUT  im fucking crazy kill me do something,1,"Anger is getting worse. The last time he let out his anger in front of his ex, he scared and almost harmed people. He is tired of being the last thing on people's minds. He's not going to meet anyone. Everyone is leaving him.",anger get bad time let anger sex scare harm people tired thing people mind not go meet leave
58904,Someone please help me dieI don t have a gun to kill myself I need one so I can end this pain and suffering once and for all  I don t care I have heard it all before  it ll get better you have so much to live for  No some people s lives are just not meant to be  Please if you have a heart help me end this pain  If you were to kill me that would be even better because atleast I wouldn t have to do it myself If you really are going to help me Pm me please,1,"Someone should help me kill myself as I am in a lot of pain. If you have a heart, you can call me and I will let you know if you want to kill me, so that I don't have to do it myself.",help kill lot pain heart let know want kill not
58905,I don t know what to doI went through a very difficult period in my life  cliche bad  And it left me feeling broken  I made a serious attempt on my life about half a year ago  but wasn t successful  After that  things started to  go my way  and I started to enjoy life again  Now things are going pretty well for me  I have a girlfriend who loves me  A family who supports me  to an extent  And friends who all like me  I have no reason to feel bad  but I feel worse than I ever have before   The sounds in my head wont shut up and no matter how hard I try I cant shut it all out  Its all too much to deal with  Physically  and in the  real  world  I am fine  But mentally I am being worn thin I am way worse off than I was when I made an attempt on my life  but at that point  I had no one that cared about me  so it didn t matter Now  when I feel like I need to kill myself the most  I have people around me that I couldn t put through that emotional trauma  But at the same time I don t care  if that makes sense I am just in a constant battle with myself  and in a state of confusion I have professional help  but its so shit  They shovel me medication that doesn t do anything  and have stuck me on a waiting list for counselling list  that I have been on for almost half a year I just want to end it  and if I didn t have people that relied on me for there own  survival  I would have tried again by now,1,"After a serious attempt on his life about half a year ago, he started to enjoy life again. Now he has a girlfriend, a family and friends who love him, but he feels worse than before. He is on a waiting list for counselling for almost a year.",attempt life half year ago start enjoy life girlfriend family friend love feel bad waiting list counselling year
58906,I genuinely don t see the point of holding on anymore nothing else to say,1,I genuinely don t see the point of holding on anymore nothing else to say,genuinely don point hold anymore
58907,I m a   year old male with good grades  friends  and a stable family  I want to kill myself  On June   my History class is taking a field trip where there is a   ft drop  I am unsure as to whether or not I ll end up jumping  but I probably will    I had some very strange ideas in my head as a younger kid  and I was more than likely schizophrenic  It hasn t bothered me in a long time  but now that I ve started thinking about the future  I remember how I had always feared that things would get frustrating  Stress  expectations  and drama are all things that I fear about my later years in life  Death itself  which to me isn t scary  as nothingness is not unpleasant  sounds a lot better  The worst part is how I feel as a self aware being  I feel as if I m acting out a machine  Nothing really phases me like it used to  meaning I am constantly thinking about how I am flesh  a brain  floating on a rock in space  I was scared of the dark up until this all started happening  I figured I might as well post here  just in case,1,"On June his History class is taking a field trip where there is a ft drop and he will probably jump. He had some strange ideas in his head as a kid and he was probably schizophrenic. He wants to kill himself. He has good grades, friends and a stable family.",june history class take field trip drop probably jump strange idea head kid probably schizophrenic want kill good grade friend stable family
58908,Don t stop fighting We live in a sick society  This world is full of selfish  careless and idiotic people  People that will bring you down because they don t feel it s worth caring for you  People that are close to you  family  classmates  co workers  etc  they don t give a shit  Why  Because they are weak inside  they want to show their strength by bringing others down  They want to fuck with your mind and body so that it makes them feel better But these people don t own you  They don t fucking own you  As long as you are not locked up in a cell somewhere physically  you can fight for your life  I ve wanted to quit plenty of times  but I owe it to   people in my life who kept me going  I probably wouldn t be alive today if it weren t for these people letting me know that I m not alone in this struggle Don t let this sick society end your life  There are many ways you can get help  This doesn t have to be a lonely fight  It s not a fight against yourself  it s a fight against this sick fucking world  Help yourself  because you ll find that soon you will want to help others,1,Don't stop fighting. The world is full of selfish careless and idiotic people that will bring you down. They don't own you. You can fight for your life as long as you are not locked up in a cell somewhere physically.,not stop fight world selfish careless idiotic people bring not fight life long not lock cell physically
58909,Hug me I m scaredI lost three people to suicide last year and they were all people I consider stronger than myself   I kind of expected two of them to leave that way and I know it s bad to say but after the initial wave of sadness I was happy that they were finally at peace  The third  I did not expect  It s officially been a month since he passed on and there s been no feeling of relief  Whenever I think of him I feel panicked   I thought he would make it  Him and I were extremely similar and seeing him randomly go and do that scared me  I m still scared  After that I started to think of all the other people who left us this year and it really hit me that I m going to kill myself one day  It never goes away and one day when my luck is running low I ll end up dead just like him  I constantly want to die but there s always small things that hold me back  I kind of hope my reckless habits will kill me before  I  can so nobody has to hold that sort of sadness or guilt in their hearts  I m scared to hurt people by leaving but it s all I want to do,1,"Last year, I lost three people to suicide. The third one has been dead for a month and I'm still scared. I constantly want to kill myself, but I'm scared to hurt people by leaving. I hope to die before I hurt anyone. ",year lose people suicide dead month scared constantly want kill scared hurt people leave hope die hurt
58910,Fuck the homies Unless they don t give consent Also make sure to say  no homo  afterwards,0,Fuck the homies Unless they don t give consent Also make sure to say  no homo  afterwards,fuck homie don consent sure no homo
58911,She said no  But  I feel great  Quarantine can be tough and lonely  but asking someone out is a great thing  You either keep you current position  or you get something great  Keep asking  I m right there with ya,0,She said no  But  I feel great  Quarantine can be tough and lonely  but asking someone out is a great thing  You either keep you current position  or you get something great  Keep asking  I m right there with ya,say no feel great quarantine tough lonely ask great thing current position great ask right
58912,That moment when You realize your dick and balls are bigger than the guy s in the video you re watching,0,That moment when You realize your dick and balls are bigger than the guy s in the video you re watching,moment realize dick ball big guy video watch
58913,Day   of random questions If we learn and improve from our mistakes  why are we so afraid to make mistakes,0,Day   of random questions If we learn and improve from our mistakes  why are we so afraid to make mistakes,day random question learn improve mistake afraid mistake
58914,the reason i dont play chess is because all the people i knew who did so where elitists about it and mocked me when i told them i prefer luck based games  jfl at some cringy incels thinking they are clever because they play a game noone cares about  same logic is applied to gamers as well,0,the reason i dont play chess is because all the people i knew who did so where elitists about it and mocked me when i told them i prefer luck based games  jfl at some cringy incels thinking they are clever because they play a game noone cares about  same logic is applied to gamers as well,reason not play chess people know elitist mock tell prefer luck base game jul cringe inc els think clever play game no care logic apply gamer
58915,Sometimes i want to die I ve never posted here before  I don t know what is happening to me  One day I m perfectly fine  the next me and my wife have an argument or I just have a mood swing and I just want to kill myself  I don t think I have depression  But im not sure  The urge usually only lasts a day or two sometimes only for a few hours  I just don t want to exist anymore  But I can t kill myself  I have a wife and stepson  friends and a loving family  That is actually the only thing keeping me from doing it  It breaks my heart thinking about how they  would feel if I killed myself  what  they  would think of me and what it would do to my stepson    I feel like I don t have anything to really be depressed or sad about  I have a great job and the social structure I mentioned above  But Everytime this feeling creeps up on me and feels more and more appealing  I start trying to think of ways to kill myself where no one would notice I was gone and the only conclusion I an come to is I have to sabotage every relationship I have  But I just feel like I don t have the will power  I love them to much  I m just at a loss and I don t know what is happening to me  The feeling subsides in a day or two and I m back to normal  A funny  happy guy  I m just worried that one of these times is going to be the last time  I find myself trying to justify dying or wishing I would have a heart attack in my sleep   I just don t know what is happening to me,1,"Sometimes I want to kill myself, but I can't kill myself because I love my family. I have a great job, a great social structure and a loving wife and stepson. I don't know what's wrong with me. ",want kill not kill love family great job great social structure love wife stepson not know wrong
58916,Can I just talk to someone please I feel so alone rn Idek anymore the past few weeks I ve just felt so alone and idk what to do anymore,0,Can I just talk to someone please I feel so alone rn Idek anymore the past few weeks I ve just felt so alone and idk what to do anymore,talk feel right idea anymore past week feel not know anymore
58917,dm me dm me i just woke up,0,dm me dm me i just woke up,wake
58918,WOW  The sandwich my friend gave me sure is salty,0,WOW  The sandwich my friend gave me sure is salty,wow sandwich friend give sure salty
58919,Send me your Spotify playlist  I m bored and I need something new to listen to while I attempt my geometry homework  I don t care what genre it is as long as it s not country,0,Send me your Spotify playlist  I m bored and I need something new to listen to while I attempt my geometry homework  I don t care what genre it is as long as it s not country,send notify playlist bored need new listen attempt geometry homework don care genre long not country
58920,I survived  only try again A few years ago I had my first attempt at suicide  I was in the National Guard and had finally shipped off to basic training  It was the first day  and I hadn t slept in four days  I jumped off a  nd story balcony that night from my bay  I first walked out and stood on the ledge  until another girl came out to make me come inside  My heart was pounding so much  I couldn t turn back after I was there and had been seen   I asked the girl  If a fall this high would kill me  Deep down  I didn t want to die  But I made the choice when I fell forward  I fractured both my feet and hit my head on the concrete  scarring my forehead and ankles  The following three months were hell  They say in Fort Sill  there is still blood on the concrete because they couldn t wash it all off Now  I am coming to my second chance  It seems the only thing that has made me feel better is when I have a plan and I prepare myself to do it   I am a drop out  I have a minimum wage job  no house to call my own  and have no joy in anything  Everyone tells me  People have it worse than you  stop being depressed  and it only makes me feel guilty  so pathetic I should just vanish  I can honestly I am alone now   I had a love  the love of my life  I was already depressed  and after nine years  I was cheated on and was treated as if I never existed   I just think  I am tired of feeling this way  I feel that this is life and I just want it to stop  I want to be happy again  but I don t even know if I can I want to just start walking and keep going  seeing where I go  I have under a hundred and I don t know my city or how to drive  I wouldn t know where to go  or what to do  but I want to just keep on walking,1,"A few years ago, when he was in the National Guard, he tried to commit suicide. He fractured both his feet and hit his head on the concrete. Now he is a drop out with no job, no house and no joy in anything. He had a love, but he was cheated on and treated as if he never existed.",year ago national guard try commit suicide fracture foot hit head concrete drop no job no house no joy love cheat treat exist
58921,Lol I wonder who tf posts links for hentai comics It s kinda horrable bcuz if my parents check my browse history I will get a lecture and a scolding,0,Lol I wonder who tf posts links for hentai comics It s kinda horrable bcuz if my parents check my browse history I will get a lecture and a scolding,low wonder post link yentai comic_strip kind horrible parent check browse history lecture scolding
58922,hello i am u is sex real hi,0,hello i am u is sex real hi,hello sex real hi
58923,Yar har diddly dee There once was a ship that put to sea The name of that ship was the Billy of tea The winds blew up her bow dipped down O blow my bully boys blow,0,Yar har diddly dee There once was a ship that put to sea The name of that ship was the Billy of tea The winds blew up her bow dipped down O blow my bully boys blow,year diddly dee ship sea ship billy tea wind blow bow dip blow bully boy blow
58924,All aloneI m in a terrible spot that I only have to be in for another two weeks  but have to come back to it once the school year starts again  I have been nothing but nice to everyone I meet yet they always judge me and take advantage when my back is turned  This has been happening all my life  and it could just be me but I cannot take it anymore,1,They judge me and take advantage when my back is turned. I have been nothing but nice to everyone I meet yet they always judge me. This has been happening all my life and it could just be me but I cannot take it anymore. ,judge advantage turn nice meet judge happen life not anymore
58925,I m sorryI m sorry I just don t wanna live with the pain anymore  I just tried to hang myself and ended up cutting the rope  now I m gonna make sure I fallow through this time  Goodbye everyone,1,I m sorryI m sorry I just don t wanna live with the pain anymore  I just tried to hang myself and ended up cutting the rope  now I m gonna make sure I fallow through this time  Goodbye everyone,sorry sorry don want live pain anymore try hang end cut rope go sure fallow time goodbye
58926,Never not sadAll I ever feel is sad I mean      Sometimes I ll laugh at something funny and I m truly happy     In that moment But then I go back   I go back to feeling sad So fucking sad for no reason         And then I start having these thoughts Where I just want it to end I just want everything to end   I just want to stop feeling so sad all the time that I have to make up a reason sometimes because there is literally no reason      Some people will say Hang in there  It will get better                      But it won t        It never has Even when something good happens I m still sad for no reason and sometimes something happens that just makes things a hundred times worse than before                      I don t think that s normal      I m just running and running but not going anywhere  So I feel like I m never not going to be sad            Because I ve tried before        But it just made me feel worse So what s the point            What s the point of living when I can t ever not be sad,1,"All I ever feel is sad. Even when something good happens, I'm still sad for no reason. I don't know what's the point of living when I can't ever not be sad. I'm just running and running but not going anywhere. ",feel sad good happen sad no reason not know point living not not sad run run not go
58927,Dont you hate People that say dont you hate,0,Dont you hate People that say dont you hate,not hate people not hate
58928,I think we all  especially nowdays   Need a good hug     Idk if its good sub to pull sucha thing at but there aint no better tbh  Hey   m here  i wasn t rly sure if i could post it on this sub but i couldnt read if its banned in rules and the  Relationship  flair given to it even more sooo here i am So yeah as You might alrdy ve assumed im searching for a gf around my age x  someone who i could have a heartwarming relationship with so yeah here are some details about me kg from eu   super chill  from time to time gettig clingy but in the adorable way  Im honestly a type of guy to prefer hug n movie together over  some lewd stuff Never understood the  Be asshole to attract girls thing  always backed support  care and love as factor of relationship Into art  skating and maybe time to time vid games Things like Kinks i can straightup break down in Dms  Images of me in posting history So yeah hope i wont get much hate for posting this here and uhhh  hope we get along  x,0,"kg from Estonia is looking for a girlfriend. He is very clingy but in an adorable way. He prefers hugs and movies over lewd things. He supports care and love as a factor of relationship. He likes art skating, video games and music.",pkg estonia look girlfriend clingy adorable way prefer hug movie lewd thing support care love factor relationship like art skate video game music
58929,We outcheaDeath is the only option  Rather die than conform,1,We outcheaDeath is the only option  Rather die than conform,dutch death option die conform
58930,My Grandfather Used To Like Me  elaborated below My Grandfather is a replacement for my father  who left before I was born  He is one of the greatest people I know  and I love him a lot   But  I dropped out of middle school  Yes  I am too young to be dropping out  And what I m doing now is technically illegal  but I won t go into those details   Back in Elementary  I missed a lot  like  a lot  And then in Middle School I just did my want to stay in school  and mother decided to  homeschool  me  This made Grandfather super bitter  Which is understandable   Grandfather started getting mad and psychical with everything I did  He started telling me very bitter things  Telling me how I needed to get out more  despite how I m literally just   and my mother quite literally doesn t let me step a single foot outside even just for a few seconds  how I am just pathetic  He started pushing me around   Of course  I don t blame him  I should be in school   But it s to late to go back now  Too much money  Way too late   I don t know what to do  I have a bunch of pills in my drawer,1,My Grandfather used to like me. Now he's mad at me because I dropped out of middle school. My mother homeschooled me. I have a bunch of pills in my drawer. I don't know what to do. ,grandfather like mad drop middle school mother homeschooler bunch pill drawer not know
58931,i dont know anymorei feel so bad about being unhappy because i m fortunate compared to a lot of people  i have friends and family  i go to school  i do sports  and overall i have a relatively  normal  life i guess you could say some days  i feel fine  all the work i have to do distracts me but other days  especially when i m alone  i feel so empty and unhappy  there s just a lot of things going on  some little  some big  that all combined into the reason why i feel this way recently  i ve had more alone time  i keep thinking about everything that s wrong with me and i can t stop  i contemplated self harm and i almost did it today  i keep thinking about killing myself   i dont know what is wrong with me,1,"Some days he feels fine at work, but when he's alone he feels empty and unhappy. Recently he's had more alone time and he's been thinking about self harm. He almost did it today. He doesn't know what's wrong with him.",day feel fine work feel unhappy recently time think self harm today not know wrong
58932,ayo it s  am now i m gon to bed fr this time  at least i think so  D anyways gnight peasant rats your queen rat is gonna sleep,0,ayo it s  am now i m gon to bed fr this time  at least i think so  D anyways gnight peasant rats your queen rat is gonna sleep,ago mon bed time think anyways night peasant rat queen rat go sleep
58933,Acne scars acne scars acne scarsI m going to kill myself because of acne scars FUCK YOU ALL  YOU DID THIS TO ME,1,Acne scars acne scars acne scarsI m going to kill myself because of acne scars FUCK YOU ALL  YOU DID THIS TO ME,acne scar acne scar acne scar go kill acne scar fuck
58934,My abusive brother has pushed me to the edge before  here s how to protect yourself from someone like him My brother was mostly fine when I was a young child  After a while he would begin hurting me sometimes  it was a joke Luke  Calm down wuss  It may not seem like much right  Yeah  It Was  I would realize that this was nothing light  scars all around my body from his punch and pushing me against walls  I would become scared of him  even now I flinch when he comes near me  He would constantly take gifts even though they were  ours  constantly harass me for my skinny short appearance  I m a  lb   year old  and even making fun of me for having trans friends and a black girlfriend  I tried to end my life purely because of that psychopath  I had  the noose around  my neck  but I realized I just couldn t take him up on his bullshit anymore  I spoke out against him and it saved my life  I hope it can save you too,1,Luke's abusive brother pushed him to the edge and he tried to kill him. Luke spoke out against him and it saved his life. Luke hopes it can save you from someone like him as well.   Luke had a noose around her neck but she didn't take his threats anymore.,luke abusive brother push edge try kill luke speak save life luke hope save like luke noose neck not threat anymore
